epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9479,1.32632,3.59088,1.3661,0.43062,0.2455,0.47593,0.31822,1.29956,2.48951,1.18144,0.000274475,0.000274475,0.000274475
2,47.1094,1.26335,2.4927,1.26794,0.68402,0.63556,0.75548,0.52386,1.20144,1.54211,1.14902,0.000549409,0.000549409,0.000549409
3,64.5517,1.23997,1.95207,1.24118,0.85278,0.64701,0.75032,0.46899,1.35042,1.80593,1.27545,0.000821593,0.000821593,0.000821593
4,80.8999,1.23289,1.76624,1.23327,0.86995,0.80178,0.90397,0.54511,1.48985,1.39719,1.32455,0.00082063,0.00082063,0.00082063
5,98.3046,1.20794,1.53659,1.22549,0.85113,0.89963,0.95069,0.62442,1.30668,0.93428,1.1545,0.000816507,0.000816507,0.000816507
6,113.532,1.15684,1.34459,1.1991,0.78344,0.86635,0.92859,0.57359,1.45673,1.16954,1.29016,0.000812383,0.000812383,0.000812383
7,130.323,1.15837,1.26047,1.18868,0.91932,0.87355,0.93386,0.6387,1.21407,0.94083,1.11632,0.00080826,0.00080826,0.00080826
8,146.488,1.1229,1.16744,1.17413,0.90139,0.92675,0.98192,0.67968,1.18242,0.88445,1.14977,0.000804137,0.000804137,0.000804137
9,163.456,1.10938,1.07668,1.16279,0.91203,0.9305,0.96185,0.69213,1.0871,0.8391,1.0618,0.000800013,0.000800013,0.000800013
10,178.953,1.09931,1.02123,1.15471,0.91325,0.91679,0.98151,0.67751,1.23122,0.66513,1.08757,0.00079589,0.00079589,0.00079589
11,195.801,1.09437,0.97824,1.13559,0.95356,0.95579,0.9879,0.71367,1.14321,0.63528,1.04081,0.000791767,0.000791767,0.000791767
12,213.192,1.07335,0.90797,1.12349,0.87204,0.97665,0.99214,0.7142,1.12348,0.67338,1.06089,0.000787643,0.000787643,0.000787643
13,229.306,1.09065,0.92772,1.15331,0.91483,0.95674,0.99406,0.62787,1.42378,0.69591,1.17391,0.00078352,0.00078352,0.00078352
